Region,State,City,Year,Month,Temperature (°C)
North,Haryana,Faridabad,2023,December,28.0
North,Haryana,Panipat,2020,January,6.9
North,Haryana,Panipat,2020,February,-0.6
North,Haryana,Panipat,2020,March,19.4
North,Haryana,Panipat,2020,April,32.5
North,Haryana,Panipat,2020,May,23.7
North,Haryana,Panipat,2020,June,13.4
North,Haryana,Panipat,2020,July,22.9
North,Haryana,Panipat,2020,August,7.9
North,Haryana,Panipat,2020,September,9.2
North,Haryana,Panipat,2020,October,31.7
North,Haryana,Panipat,2020,November,36.1
North,Haryana,Panipat,2020,December,17.9
North,Haryana,Panipat,2021,January,10.6
North,Haryana,Panipat,2021,February,32.3
North,Haryana,Panipat,2021,March,21.9
North,Haryana,Panipat,2021,April,20.2
North,Haryana,Panipat,2021,May,22.3
North,Haryana,Panipat,2021,June,20.5
North,Haryana,Panipat,2021,July,33.2
North,Haryana,Panipat,2021,August,38.5
North,Haryana,Panipat,2021,September,32.5
North,Haryana,Panipat,2021,October,10.4
North,Haryana,Panipat,2021,November,26.0
North,Haryana,Panipat,2021,December,29.7
North,Haryana,Panipat,2022,January,15.8
North,Haryana,Panipat,2022,February,29.6
North,Haryana,Panipat,2022,March,37.4
North,Haryana,Panipat,2022,April,7.3
North,Haryana,Panipat,2022,May,15.6
North,Haryana,Panipat,2022,June,18.9
North,Haryana,Panipat,2022,July,30.8
North,Haryana,Panipat,2022,August,8.7
North,Haryana,Panipat,2022,September,26.4
North,Haryana,Panipat,2022,October,35.2
North,Haryana,Panipat,2022,November,33.3
North,Haryana,Panipat,2022,December,26.1
North,Haryana,Panipat,2023,January,30.5
North,Haryana,Panipat,2023,February,18.6
North,Haryana,Panipat,2023,March,5.8
North,Haryana,Panipat,2023,April,18.7
North,Haryana,Panipat,2023,May,9.8
North,Haryana,Panipat,2023,June,12.8
North,Haryana,Panipat,2023,July,14.4
North,Haryana,Panipat,2023,August,24.6
North,Haryana,Panipat,2023,September,13.7
North,Haryana,Panipat,2023,October,21.7
North,Haryana,Panipat,2023,November,22.7
North,Haryana,Panipat,2023,December,14.5
North,Uttarakhand,Dehradun,2020,January,27.5
North,Uttarakhand,Dehradun,2020,February,29.4
North,Uttarakhand,Dehradun,2020,March,15.3
North,Uttarakhand,Dehradun,2020,April,13.4
North,Uttarakhand,Dehradun,2020,May,5.7
North,Uttarakhand,Dehradun,2020,June,34.2
North,Uttarakhand,Dehradun,2020,July,36.2
North,Uttarakhand,Dehradun,2020,August,8.5
North,Uttarakhand,Dehradun,2020,September,20.6
North,Uttarakhand,Dehradun,2020,October,15.7
North,Uttarakhand,Dehradun,2020,November,7.0
North,Uttarakhand,Dehradun,2020,December,22.4
North,Uttarakhand,Dehradun,2021,January,5.6
North,Uttarakhand,Dehradun,2021,February,36.0
North,Uttarakhand,Dehradun,2021,March,31.0
North,Uttarakhand,Dehradun,2021,April,26.5
North,Uttarakhand,Dehradun,2021,May,11.7
North,Uttarakhand,Dehradun,2021,June,5.8
North,Uttarakhand,Dehradun,2021,July,13.8
North,Uttarakhand,Dehradun,2021,August,33.1
North,Uttarakhand,Dehradun,2021,September,18.2
North,Uttarakhand,Dehradun,2021,October,17.3
North,Uttarakhand,Dehradun,2021,November,7.9
North,Uttarakhand,Dehradun,2021,December,32.6
North,Uttarakhand,Dehradun,2022,January,21.3
North,Uttarakhand,Dehradun,2022,February,25.5
North,Uttarakhand,Dehradun,2022,March,19.1
North,Uttarakhand,Dehradun,2022,April,35.6
North,Uttarakhand,Dehradun,2022,May,18.2
North,Uttarakhand,Dehradun,2022,June,28.5
North,Uttarakhand,Dehradun,2022,July,32.3
North,Uttarakhand,Dehradun,2022,August,30.8
North,Uttarakhand,Dehradun,2022,September,16.3
North,Uttarakhand,Dehradun,2022,October,10.1
North,Uttarakhand,Dehradun,2022,November,25.6
North,Uttarakhand,Dehradun,2022,December,13.2
North,Uttarakhand,Dehradun,2023,January,20.4
North,Uttarakhand,Dehradun,2023,February,26.1
North,Uttarakhand,Dehradun,2023,March,29.6
North,Uttarakhand,Dehradun,2023,April,16.6
North,Uttarakhand,Dehradun,2023,May,32.6
North,Uttarakhand,Dehradun,2023,June,23.6
North,Uttarakhand,Dehradun,2023,July,10.9
North,Uttarakhand,Dehradun,2023,August,17.8
North,Uttarakhand,Dehradun,2023,September,18.8
North,Uttarakhand,Dehradun,2023,October,16.4
North,Uttarakhand,Dehradun,2023,November,26.9
North,Uttarakhand,Dehradun,2023,December,7.3
North,Uttarakhand,Haridwar,2020,January,26.7
North,Uttarakhand,Haridwar,2020,February,18.6
North,Uttarakhand,Haridwar,2020,March,16.7
North,Uttarakhand,Haridwar,2020,April,39.1
North,Uttarakhand,Haridwar,2020,May,32.3
North,Uttarakhand,Haridwar,2020,June,12.6
North,Uttarakhand,Haridwar,2020,July,22.2
North,Uttarakhand,Haridwar,2020,August,31.1
North,Uttarakhand,Haridwar,2020,September,37.2
North,Uttarakhand,Haridwar,2020,October,31.6
North,Uttarakhand,Haridwar,2020,November,32.3
North,Uttarakhand,Haridwar,2020,December,12.1
North,Uttarakhand,Haridwar,2021,January,25.8
North,Uttarakhand,Haridwar,2021,February,33.8
North,Uttarakhand,Haridwar,2021,March,14.9
North,Uttarakhand,Haridwar,2021,April,22.2
North,Uttarakhand,Haridwar,2021,May,22.5
North,Uttarakhand,Haridwar,2021,June,6.4
North,Uttarakhand,Haridwar,2021,July,11.7
North,Uttarakhand,Haridwar,2021,August,18.3
North,Uttarakhand,Haridwar,2021,September,13.7
North,Uttarakhand,Haridwar,2021,October,13.3
North,Uttarakhand,Haridwar,2021,November,19.8
North,Uttarakhand,Haridwar,2021,December,21.3
North,Uttarakhand,Haridwar,2022,January,29.2
North,Uttarakhand,Haridwar,2022,February,15.1
North,Uttarakhand,Haridwar,2022,March,35.7
North,Uttarakhand,Haridwar,2022,April,13.5
North,Uttarakhand,Haridwar,2022,May,31.6
North,Uttarakhand,Haridwar,2022,June,27.2
North,Uttarakhand,Haridwar,2022,July,5.4
North,Uttarakhand,Haridwar,2022,August,20.8
North,Uttarakhand,Haridwar,2022,September,20.0
North,Uttarakhand,Haridwar,2022,October,5.2
North,Uttarakhand,Haridwar,2022,November,13.6
North,Uttarakhand,Haridwar,2022,December,11.0
North,Uttarakhand,Haridwar,2023,January,6.0
North,Uttarakhand,Haridwar,2023,February,30.5
North,Uttarakhand,Haridwar,2023,March,18.2
North,Uttarakhand,Haridwar,2023,April,15.1
North,Uttarakhand,Haridwar,2023,May,9.7
North,Uttarakhand,Haridwar,2023,June,10.9
North,Uttarakhand,Haridwar,2023,July,26.9
North,Uttarakhand,Haridwar,2023,August,16.8
North,Uttarakhand,Haridwar,2023,September,21.7
North,Uttarakhand,Haridwar,2023,October,6.8
North,Uttarakhand,Haridwar,2023,November,21.4
North,Uttarakhand,Haridwar,2023,December,19.7
North,Uttarakhand,Nainital,2020,January,19.5
North,Uttarakhand,Nainital,2020,February,8.3
North,Uttarakhand,Nainital,2020,March,24.7
North,Uttarakhand,Nainital,2020,April,22.9
North,Uttarakhand,Nainital,2020,May,6.2
North,Uttarakhand,Nainital,2020,June,38.1
North,Uttarakhand,Nainital,2020,July,39.5
North,Uttarakhand,Nainital,2020,August,23.0
North,Uttarakhand,Nainital,2020,September,17.7
North,Uttarakhand,Nainital,2020,October,27.6
North,Uttarakhand,Nainital,2020,November,33.1
North,Uttarakhand,Nainital,2020,December,3.4
North,Uttarakhand,Nainital,2021,January,17.0
North,Uttarakhand,Nainital,2021,February,15.9
North,Uttarakhand,Nainital,2021,March,16.5
North,Uttarakhand,Nainital,2021,April,25.5
North,Uttarakhand,Nainital,2021,May,10.4
North,Uttarakhand,Nainital,2021,June,20.7
North,Uttarakhand,Nainital,2021,July,13.4
North,Uttarakhand,Nainital,2021,August,26.0
North,Uttarakhand,Nainital,2021,September,23.9
North,Uttarakhand,Nainital,2021,October,8.6
North,Uttarakhand,Nainital,2021,November,13.5
North,Uttarakhand,Nainital,2021,December,29.7
North,Uttarakhand,Nainital,2022,January,3.1
North,Uttarakhand,Nainital,2022,February,24.4
North,Uttarakhand,Nainital,2022,March,28.0
North,Uttarakhand,Nainital,2022,April,9.8
North,Uttarakhand,Nainital,2022,May,23.1
North,Uttarakhand,Nainital,2022,June,30.6
North,Uttarakhand,Nainital,2022,July,31.3
North,Uttarakhand,Nainital,2022,August,22.5
North,Uttarakhand,Nainital,2022,September,8.8
North,Uttarakhand,Nainital,2022,October,14.0
North,Uttarakhand,Nainital,2022,November,11.7
North,Uttarakhand,Nainital,2022,December,20.1
North,Uttarakhand,Nainital,2023,January,23.0
North,Uttarakhand,Nainital,2023,February,22.3
North,Uttarakhand,Nainital,2023,March,24.3
North,Uttarakhand,Nainital,2023,April,31.3
North,Uttarakhand,Nainital,2023,May,30.2
North,Uttarakhand,Nainital,2023,June,25.4
North,Uttarakhand,Nainital,2023,July,24.9
North,Uttarakhand,Nainital,2023,August,5.8
North,Uttarakhand,Nainital,2023,September,20.4
North,Uttarakhand,Nainital,2023,October,31.1
North,Uttarakhand,Nainital,2023,November,9.8
North,Uttarakhand,Nainital,2023,December,20.9
North,Uttar Pradesh,Lucknow,2020,January,36.1
North,Uttar Pradesh,Lucknow,2020,February,34.6
North,Uttar Pradesh,Lucknow,2020,March,20.8
North,Uttar Pradesh,Lucknow,2020,April,8.8
North,Uttar Pradesh,Lucknow,2020,May,33.7
North,Uttar Pradesh,Lucknow,2020,June,34.1
North,Uttar Pradesh,Lucknow,2020,July,13.9
North,Uttar Pradesh,Lucknow,2020,August,25.4
North,Uttar Pradesh,Lucknow,2020,September,17.1
North,Uttar Pradesh,Lucknow,2020,October,17.0
North,Uttar Pradesh,Lucknow,2020,November,28.4
North,Uttar Pradesh,Lucknow,2020,December,34.7
North,Uttar Pradesh,Lucknow,2021,January,25.3
North,Uttar Pradesh,Lucknow,2021,February,25.3
North,Uttar Pradesh,Lucknow,2021,March,37.1
North,Uttar Pradesh,Lucknow,2021,April,28.2
North,Uttar Pradesh,Lucknow,2021,May,35.3
North,Uttar Pradesh,Lucknow,2021,June,20.2
North,Uttar Pradesh,Lucknow,2021,July,23.8
North,Uttar Pradesh,Lucknow,2021,August,25.1
North,Uttar Pradesh,Lucknow,2021,September,35.3
North,Uttar Pradesh,Lucknow,2021,October,11.5
North,Uttar Pradesh,Lucknow,2021,November,17.1
North,Uttar Pradesh,Lucknow,2021,December,33.8
North,Uttar Pradesh,Lucknow,2022,January,25.2
North,Uttar Pradesh,Lucknow,2022,February,8.3
North,Uttar Pradesh,Lucknow,2022,March,20.2
North,Uttar Pradesh,Lucknow,2022,April,22.0
North,Uttar Pradesh,Lucknow,2022,May,26.5
North,Uttar Pradesh,Lucknow,2022,June,34.4
North,Uttar Pradesh,Lucknow,2022,July,25.5
North,Uttar Pradesh,Lucknow,2022,August,39.9
North,Uttar Pradesh,Lucknow,2022,September,36.8
North,Uttar Pradesh,Lucknow,2022,October,12.9
North,Uttar Pradesh,Lucknow,2022,November,23.9
North,Uttar Pradesh,Lucknow,2022,December,17.8
North,Uttar Pradesh,Lucknow,2023,January,5.8
North,Uttar Pradesh,Lucknow,2023,February,30.0
North,Uttar Pradesh,Lucknow,2023,March,30.2
North,Uttar Pradesh,Lucknow,2023,April,19.3
North,Uttar Pradesh,Lucknow,2023,May,40.0
North,Uttar Pradesh,Lucknow,2023,June,19.0
North,Uttar Pradesh,Lucknow,2023,July,17.2
North,Uttar Pradesh,Lucknow,2023,August,39.5
North,Uttar Pradesh,Lucknow,2023,September,28.2
North,Uttar Pradesh,Lucknow,2023,October,16.8
North,Uttar Pradesh,Lucknow,2023,November,29.7
North,Uttar Pradesh,Lucknow,2023,December,29.2
North,Uttar Pradesh,Kanpur,2020,January,21.7
North,Uttar Pradesh,Kanpur,2020,February,6.1
North,Uttar Pradesh,Kanpur,2020,March,35.2
North,Uttar Pradesh,Kanpur,2020,April,16.2
North,Uttar Pradesh,Kanpur,2020,May,30.6
North,Uttar Pradesh,Kanpur,2020,June,11.7
North,Uttar Pradesh,Kanpur,2020,July,13.5
North,Uttar Pradesh,Kanpur,2020,August,12.5
North,Uttar Pradesh,Kanpur,2020,September,10.9
North,Uttar Pradesh,Kanpur,2020,October,12.1
North,Uttar Pradesh,Kanpur,2020,November,31.6
North,Uttar Pradesh,Kanpur,2020,December,18.6
North,Uttar Pradesh,Kanpur,2021,January,2.8
North,Uttar Pradesh,Kanpur,2021,February,10.0
North,Uttar Pradesh,Kanpur,2021,March,25.0
North,Uttar Pradesh,Kanpur,2021,April,24.5
North,Uttar Pradesh,Kanpur,2021,May,29.2
North,Uttar Pradesh,Kanpur,2021,June,20.0
North,Uttar Pradesh,Kanpur,2021,July,37.1
North,Uttar Pradesh,Kanpur,2021,August,14.0
North,Uttar Pradesh,Kanpur,2021,September,32.2
North,Uttar Pradesh,Kanpur,2021,October,32.4
North,Uttar Pradesh,Kanpur,2021,November,27.0
North,Uttar Pradesh,Kanpur,2021,December,4.1
North,Uttar Pradesh,Kanpur,2022,January,8.5
North,Uttar Pradesh,Kanpur,2022,February,31.2
North,Uttar Pradesh,Kanpur,2022,March,26.3
North,Uttar Pradesh,Kanpur,2022,April,36.0
North,Uttar Pradesh,Kanpur,2022,May,15.4
North,Uttar Pradesh,Kanpur,2022,June,40.0
North,Uttar Pradesh,Kanpur,2022,July,7.1
North,Uttar Pradesh,Kanpur,2022,August,33.0
North,Uttar Pradesh,Kanpur,2022,September,37.8
North,Uttar Pradesh,Kanpur,2022,October,6.0
North,Uttar Pradesh,Kanpur,2022,November,9.0
North,Uttar Pradesh,Kanpur,2022,December,17.1
North,Uttar Pradesh,Kanpur,2023,January,4.9
North,Uttar Pradesh,Kanpur,2023,February,32.0
North,Uttar Pradesh,Kanpur,2023,March,36.2
North,Uttar Pradesh,Kanpur,2023,April,16.7
North,Uttar Pradesh,Kanpur,2023,May,5.5
North,Uttar Pradesh,Kanpur,2023,June,23.7
North,Uttar Pradesh,Kanpur,2023,July,22.5
North,Uttar Pradesh,Kanpur,2023,August,22.5
North,Uttar Pradesh,Kanpur,2023,September,31.5
North,Uttar Pradesh,Kanpur,2023,October,30.7
North,Uttar Pradesh,Kanpur,2023,November,35.2
North,Uttar Pradesh,Kanpur,2023,December,22.3
North,Uttar Pradesh,Varanasi,2020,January,22.2
North,Uttar Pradesh,Varanasi,2020,February,28.9
North,Uttar Pradesh,Varanasi,2020,March,11.8
North,Uttar Pradesh,Varanasi,2020,April,14.7
North,Uttar Pradesh,Varanasi,2020,May,21.9
North,Uttar Pradesh,Varanasi,2020,June,8.3
North,Uttar Pradesh,Varanasi,2020,July,24.0
North,Uttar Pradesh,Varanasi,2020,August,32.8
North,Uttar Pradesh,Varanasi,2020,September,21.9
North,Uttar Pradesh,Varanasi,2020,October,13.9
North,Uttar Pradesh,Varanasi,2020,November,22.8
North,Uttar Pradesh,Varanasi,2020,December,33.4
North,Uttar Pradesh,Varanasi,2021,January,29.6
North,Uttar Pradesh,Varanasi,2021,February,12.6
North,Uttar Pradesh,Varanasi,2021,March,17.1
North,Uttar Pradesh,Varanasi,2021,April,27.7
North,Uttar Pradesh,Varanasi,2021,May,18.2
North,Uttar Pradesh,Varanasi,2021,June,31.2
North,Uttar Pradesh,Varanasi,2021,July,14.6
North,Uttar Pradesh,Varanasi,2021,August,9.1
North,Uttar Pradesh,Varanasi,2021,September,38.9
North,Uttar Pradesh,Varanasi,2021,October,40.0
North,Uttar Pradesh,Varanasi,2021,November,26.5
North,Uttar Pradesh,Varanasi,2021,December,26.5
North,Uttar Pradesh,Varanasi,2022,January,27.7
North,Uttar Pradesh,Varanasi,2022,February,18.3
North,Uttar Pradesh,Varanasi,2022,March,17.0
North,Uttar Pradesh,Varanasi,2022,April,37.9
North,Uttar Pradesh,Varanasi,2022,May,24.4
North,Uttar Pradesh,Varanasi,2022,June,37.4
North,Uttar Pradesh,Varanasi,2022,July,39.0
North,Uttar Pradesh,Varanasi,2022,August,38.9
North,Uttar Pradesh,Varanasi,2022,September,12.4
North,Uttar Pradesh,Varanasi,2022,October,30.8
North,Uttar Pradesh,Varanasi,2022,November,17.5
North,Uttar Pradesh,Varanasi,2022,December,2.9
North,Uttar Pradesh,Varanasi,2023,January,4.0
North,Uttar Pradesh,Varanasi,2023,February,18.9
North,Uttar Pradesh,Varanasi,2023,March,11.5
North,Uttar Pradesh,Varanasi,2023,April,8.5
North,Uttar Pradesh,Varanasi,2023,May,7.3
North,Uttar Pradesh,Varanasi,2023,June,14.3
North,Uttar Pradesh,Varanasi,2023,July,13.6
North,Uttar Pradesh,Varanasi,2023,August,22.7
North,Uttar Pradesh,Varanasi,2023,September,17.7
North,Uttar Pradesh,Varanasi,2023,October,9.9
North,Uttar Pradesh,Varanasi,2023,November,34.2
North,Uttar Pradesh,Varanasi,2023,December,12.8
North,Himachal Pradesh,Shimla,2020,January,31.2
North,Himachal Pradesh,Shimla,2020,February,8.3
North,Himachal Pradesh,Shimla,2020,March,29.0
